"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000213699",1039.39691161774,0.320705138494821,0.0830346713555612,3.86230394194656,0.000112322699556206,0.00174653725336627,"SLC35F6"
"ENSG00000278741",1868.4106771268,-0.536808534246648,0.139055825030569,-3.86038149878754,0.000113210133776872,0.00175853074466741,"ABR"
"ENSG00000117280",1185.46097593664,0.497389621765439,0.128933863836605,3.85771128673978,0.000114453728816719,0.00177602635546026,"RAB29"
"ENSG00000135862",34261.3789844959,0.634304798716169,0.164465634641367,3.85676193144745,0.000114898967467725,0.00178111040153398,"LAMC1"
"ENSG00000182916",405.721142919711,-0.496175536910438,0.128814372496477,-3.85186472048379,0.000117221778296904,0.0018152595422358,"TCEAL7"
"ENSG00000118503",354.648718608129,0.483430894265117,0.125555301917044,3.85034233428492,0.000117952841796871,0.00182471479980961,"TNFAIP3"
"ENSG00000002834",8609.18275618938,0.416875037968134,0.108276833530402,3.85008523407811,0.000118076727177839,0.00182476738072283,"LASP1"
"ENSG00000011566",1413.92467212257,0.813291606794477,0.211285154407607,3.84926053642885,0.000118474941552339,0.00182905503548438,"MAP4K3"
"ENSG00000101150",3804.6699676276,0.325276115808475,0.0845577133750155,3.84679413415388,0.00011967344153376,0.00184379885252166,"TPD52L2"
"ENSG00000135926",5332.39854341309,0.539008192993838,0.140118246945771,3.84680942520246,0.00011966597605504,0.00184379885252166,"TMBIM1"
"ENSG00000128045",122.042804459596,3.96874622862332,1.03251596962716,3.84376256190636,0.000121162237619385,0.00186294628299044,"RASL11B"
"ENSG00000185716",478.226219073063,0.724502163167595,0.188477300150663,3.84397570735812,0.00012105699442647,0.00186294628299044,"C16orf52"
"ENSG00000006607",957.991889094816,0.595861749000693,0.155040303797738,3.84327000402451,0.000121405774243236,0.00186479761755964,"FARP2"
"ENSG00000185252",145.308146022903,-0.793068954984389,0.206410414510012,-3.84219447873799,0.000121939153920268,0.00187109269110684,"ZNF74"
"ENSG00000161682",304.378813525157,-0.927235531168489,0.241462659993582,-3.84007834251944,0.000122995054378259,0.00188538471514042,"FAM171A2"
"ENSG00000124440",221.054898298349,1.97118072099786,0.513441265961854,3.83915522899226,0.000123458360547648,0.00189057317542379,"HIF3A"
"ENSG00000162298",1048.15986747854,0.394726211378804,0.102856362705948,3.83764505174338,0.000124219860202328,0.00190031291188309,"SYVN1"
"ENSG00000102385",110.564100179156,-1.0005199009323,0.26117019796641,-3.8309114467225,0.000127669451053089,0.00195111386094756,"DRP2"
"ENSG00000186635",2879.08178749313,-0.363435126644126,0.0949191143951342,-3.82889293647641,0.000128720985615771,0.00196520093462788,"ARAP1"
"ENSG00000075420",5868.85199765498,0.642026648005239,0.167753860581695,3.82719447277683,0.000129612111481189,0.00197283962651518,"FNDC3B"
"ENSG00000130584",212.196160443691,-0.857588257719427,0.224055405913668,-3.82757226598616,0.000129413394966446,0.00197283962651518,"ZBTB46"
"ENSG00000186575",2595.50312160483,0.943134866858272,0.246419120536036,3.82736073729453,0.000129524622136647,0.00197283962651518,"NF2"
"ENSG00000185189",1444.67351593727,0.500862034980573,0.131027699311233,3.82256604987671,0.00013207008630642,0.00200823439468949,"NRBP2"
"ENSG00000102900",618.617505419022,0.422252750053976,0.110542075611529,3.81983735801988,0.000133539699505066,0.00202854438215067,"NUP93"
"ENSG00000092847",1013.08583834465,-0.411543098078274,0.107755201142401,-3.81924114766778,0.000133862849830945,0.00203141569207381,"AGO1"
"ENSG00000186063",3884.66060110273,0.383229735025543,0.10035106001809,3.81889075169171,0.000134053110582326,0.00203226662639572,"AIDA"
"ENSG00000166401",401.4576,0.5378674,0.1408641,3.818342,0.0001343516,0.002034756,"SERPINB8"
"ENSG00000101558",2573.657,0.4010287,0.1050967,3.815807,0.0001357383,0.002048054,"VAPA"
"ENSG00000117592",3679.018,0.4417439,0.1157752,3.815532,0.0001358899,0.002048054,"PRDX6"
"ENSG00000132612",1245.285,0.3295762,0.08636867,3.815923,0.0001356745,0.002048054,"VPS4A"
"ENSG00000135823",1009.808,0.4885176,0.1280114,3.816203,0.0001355211,0.002048054,"STX6"
"ENSG00000172345",597.1131,-0.6668456,0.1747727,-3.815503,0.0001359059,0.002048054,"STARD5"
"ENSG00000034713",1398.574,0.3733518,0.09786786,3.814856,0.0001362624,0.002049832,"GABARAPL2"
